arm,pct,repeat,log,started,ended,load_s,others_before,others_after
rtllm,5,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p5-r1.log,2026-09-03T06:37:05+00:00,2026-09-03T06:43:30+00:00,8.9,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,8,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p8-r1.log,2026-09-03T06:43:30+00:00,2026-09-03T06:49:54+00:00,9.0,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,10,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p10-r1.log,2026-09-03T06:49:54+00:00,2026-09-03T06:56:18+00:00,8.8,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,12,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p12-r1.log,2026-09-03T06:56:18+00:00,2026-09-03T07:02:42+00:00,8.7,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,20,1,,2026-09-03T07:02:42+00:00,2026-09-03T07:02:44+00:00,SKIPPED_NUMCHECK,"root:275636(110 MiB)",""
rtllm,25,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p25-r1.log,2026-09-03T07:02:44+00:00,2026-09-03T07:09:07+00:00,9.2,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,30,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p30-r1.log,2026-09-03T07:09:07+00:00,2026-09-03T07:15:30+00:00,8.4,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,33,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p33-r1.log,2026-09-03T07:15:30+00:00,2026-09-03T07:21:53+00:00,8.4,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,40,1,,2026-09-03T07:21:53+00:00,2026-09-03T07:21:54+00:00,SKIPPED_NUMCHECK,"root:275636(110 MiB)",""
rtllm,50,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p50-r1.log,2026-09-03T07:21:54+00:00,2026-09-03T07:28:17+00:00,8.3,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,60,1,,2026-09-03T07:28:17+00:00,2026-09-03T07:28:18+00:00,SKIPPED_NUMCHECK,"root:275636(110 MiB)",""
rtllm,66,1,,2026-09-03T07:28:18+00:00,2026-09-03T07:28:19+00:00,SKIPPED_NUMCHECK,"root:275636(110 MiB)",""
rtllm,70,1,,2026-09-03T07:28:19+00:00,2026-09-03T07:28:21+00:00,SKIPPED_NUMCHECK,"root:275636(110 MiB)",""
rtllm,75,1,,2026-09-03T07:28:21+00:00,2026-09-03T07:28:22+00:00,SKIPPED_NUMCHECK,"root:275636(110 MiB)",""
rtllm,80,1,,2026-09-03T07:28:22+00:00,2026-09-03T07:28:24+00:00,SKIPPED_NUMCHECK,"root:275636(110 MiB)",""
rtllm,90,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p90-r1.log,2026-09-03T07:28:24+00:00,2026-09-03T07:34:52+00:00,14.3,"root:275636(110 MiB)","root:275636(110 MiB)"
rtllm,95,1,/space/mm562/TimelyLLM/timelyllm/logs/gh200-full-rtllm-p95-r1.log,2026-09-03T07:34:52+00:00,2026-09-03T07:41:14+00:00,8.3,"root:275636(110 MiB)","root:275636(110 MiB)"
