pct,sm,worst_rel_err,shape,verdict
1,8,3.32e-03,"M=512 down bfloat16",CLEAN
2,8,3.32e-03,"M=512 down bfloat16",CLEAN
3,8,3.32e-03,"M=512 down bfloat16",CLEAN
4,8,3.32e-03,"M=512 down bfloat16",CLEAN
5,8,3.32e-03,"M=512 down bfloat16",CLEAN
6,8,3.32e-03,"M=512 down bfloat16",CLEAN
7,8,3.32e-03,"M=512 down bfloat16",CLEAN
8,10,3.45e-03,"M=8 gate_up bfloat16",CLEAN
9,10,3.45e-03,"M=8 gate_up bfloat16",CLEAN
10,12,3.21e-03,"M=8 gate_up bfloat16",CLEAN
11,14,3.45e-03,"M=64 o_proj bfloat16",CLEAN
12,14,3.45e-03,"M=64 o_proj bfloat16",CLEAN
13,16,3.46e-03,"M=64 qkv bfloat16",CLEAN
14,18,1.00e+00,"M=8 o_proj bfloat16",CORRUPT
15,18,1.00e+00,"M=8 o_proj bfloat16",CORRUPT
16,20,inf,"M=1 qkv float16",CORRUPT
17,22,inf,"M=1 qkv float16",CORRUPT
18,22,inf,"M=1 qkv float16",CORRUPT
19,24,inf,"M=1 gate_up float16",CORRUPT
20,26,1.51e+00,"M=8 o_proj float16",CORRUPT
21,26,1.51e+00,"M=8 o_proj float16",CORRUPT
22,28,inf,"M=512 qkv float16",CORRUPT
23,30,3.42e-03,"M=64 down bfloat16",CLEAN
24,30,3.42e-03,"M=64 down bfloat16",CLEAN
25,32,3.17e-03,"M=512 down bfloat16",CLEAN
26,34,3.28e-03,"M=64 down bfloat16",CLEAN
27,34,3.28e-03,"M=64 down bfloat16",CLEAN
28,36,inf,"M=1 gate_up float16",CORRUPT
29,38,3.20e-03,"M=2048 down bfloat16",CLEAN
30,38,3.20e-03,"M=2048 down bfloat16",CLEAN
31,40,3.34e-03,"M=64 o_proj bfloat16",CLEAN
32,42,3.46e-03,"M=8 gate_up bfloat16",CLEAN
33,42,3.46e-03,"M=8 gate_up bfloat16",CLEAN
34,44,inf,"M=1 down float16",CORRUPT
35,46,inf,"M=512 qkv float16",CORRUPT
36,46,inf,"M=512 qkv float16",CORRUPT
37,48,inf,"M=1 gate_up float16",CORRUPT
38,50,inf,"M=512 qkv float16",CORRUPT
39,50,inf,"M=512 qkv float16",CORRUPT
40,52,inf,"M=512 qkv float16",CORRUPT
41,54,inf,"M=512 qkv float16",CORRUPT
42,54,inf,"M=512 qkv float16",CORRUPT
43,56,inf,"M=512 qkv float16",CORRUPT
44,58,inf,"M=512 qkv float16",CORRUPT
45,58,inf,"M=512 qkv float16",CORRUPT
46,60,inf,"M=512 qkv float16",CORRUPT
47,62,3.37e-03,"M=64 o_proj bfloat16",CLEAN
48,62,3.37e-03,"M=64 o_proj bfloat16",CLEAN
49,64,3.54e-03,"M=512 down bfloat16",CLEAN
50,66,3.39e-03,"M=64 down bfloat16",CLEAN
51,66,3.39e-03,"M=64 down bfloat16",CLEAN
52,68,inf,"M=1 gate_up float16",CORRUPT
53,68,inf,"M=1 gate_up float16",CORRUPT
54,70,inf,"M=1 gate_up float16",CORRUPT
55,72,inf,"M=512 qkv float16",CORRUPT
56,72,inf,"M=512 qkv float16",CORRUPT
57,74,inf,"M=512 qkv float16",CORRUPT
58,76,inf,"M=512 qkv float16",CORRUPT
59,76,inf,"M=512 qkv float16",CORRUPT
60,78,inf,"M=512 gate_up float16",CORRUPT
61,80,inf,"M=512 qkv float16",CORRUPT
62,80,inf,"M=512 qkv float16",CORRUPT
63,82,inf,"M=512 qkv float16",CORRUPT
64,84,inf,"M=512 qkv float16",CORRUPT
65,84,inf,"M=512 qkv float16",CORRUPT
66,86,inf,"M=512 qkv float16",CORRUPT
67,88,inf,"M=512 qkv float16",CORRUPT
68,88,inf,"M=512 qkv float16",CORRUPT
69,90,inf,"M=512 qkv float16",CORRUPT
70,92,inf,"M=512 qkv float16",CORRUPT
71,92,inf,"M=512 qkv float16",CORRUPT
72,94,inf,"M=512 qkv float16",CORRUPT
73,96,inf,"M=1 gate_up float16",CORRUPT
74,96,inf,"M=1 gate_up float16",CORRUPT
75,98,inf,"M=1 gate_up float16",CORRUPT
76,100,inf,"M=1 gate_up float16",CORRUPT
77,100,inf,"M=1 gate_up float16",CORRUPT
78,102,inf,"M=1 gate_up float16",CORRUPT
79,104,inf,"M=1 gate_up float16",CORRUPT
80,104,inf,"M=1 gate_up float16",CORRUPT
81,106,inf,"M=1 gate_up float16",CORRUPT
82,108,inf,"M=512 qkv float16",CORRUPT
83,108,inf,"M=512 qkv float16",CORRUPT
84,110,inf,"M=512 qkv float16",CORRUPT
85,112,inf,"M=512 qkv float16",CORRUPT
86,112,inf,"M=512 qkv float16",CORRUPT
87,114,1.06e+17,"M=512 o_proj bfloat16",CORRUPT
88,116,inf,"M=512 gate_up float16",CORRUPT
89,116,inf,"M=512 gate_up float16",CORRUPT
90,118,3.56e-03,"M=8 gate_up bfloat16",CLEAN
91,120,3.41e-03,"M=8 gate_up bfloat16",CLEAN
92,120,3.41e-03,"M=8 gate_up bfloat16",CLEAN
93,122,3.59e-03,"M=64 down bfloat16",CLEAN
94,124,3.28e-03,"M=64 gate_up bfloat16",CLEAN
95,124,3.28e-03,"M=64 gate_up bfloat16",CLEAN
96,126,3.61e-03,"M=8 qkv bfloat16",CLEAN
97,128,3.46e-03,"M=64 qkv bfloat16",CLEAN
98,128,3.46e-03,"M=64 qkv bfloat16",CLEAN
99,130,3.51e-03,"M=8 o_proj bfloat16",CLEAN
100,132,3.51e-03,"M=1 qkv bfloat16",CLEAN
