tpcs,sm,reported,tflops,worst_rel_err,shape,verdict
4,8,132,55.9,3.51e-03,"M=1 qkv bfloat16",CLEAN
5,10,132,56.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
6,12,132,56.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
7,14,132,56.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
8,16,132,56.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
9,18,132,56.1,3.51e-03,"M=1 qkv bfloat16",CLEAN
10,20,132,69.9,3.51e-03,"M=1 qkv bfloat16",CLEAN
11,22,132,84.6,3.51e-03,"M=1 qkv bfloat16",CLEAN
12,24,132,95.7,3.51e-03,"M=1 qkv bfloat16",CLEAN
13,26,132,110.1,3.51e-03,"M=1 qkv bfloat16",CLEAN
14,28,132,121.1,3.51e-03,"M=1 qkv bfloat16",CLEAN
15,30,132,138.9,3.51e-03,"M=1 qkv bfloat16",CLEAN
16,32,132,151.2,3.51e-03,"M=1 qkv bfloat16",CLEAN
17,34,132,163.7,3.51e-03,"M=1 qkv bfloat16",CLEAN
18,36,132,163.8,3.51e-03,"M=1 qkv bfloat16",CLEAN
19,38,132,171.9,3.51e-03,"M=1 qkv bfloat16",CLEAN
20,40,132,190.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
21,42,132,199.8,3.51e-03,"M=1 qkv bfloat16",CLEAN
22,44,132,209.9,3.51e-03,"M=1 qkv bfloat16",CLEAN
23,46,132,225.3,3.51e-03,"M=1 qkv bfloat16",CLEAN
24,48,132,239.6,3.51e-03,"M=1 qkv bfloat16",CLEAN
25,50,132,254.3,3.51e-03,"M=1 qkv bfloat16",CLEAN
26,52,132,254.7,3.51e-03,"M=1 qkv bfloat16",CLEAN
27,54,132,255.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
28,56,132,255.9,3.51e-03,"M=1 qkv bfloat16",CLEAN
29,58,132,298.1,3.51e-03,"M=1 qkv bfloat16",CLEAN
30,60,132,296.9,3.51e-03,"M=1 qkv bfloat16",CLEAN
31,62,132,323.2,3.51e-03,"M=1 qkv bfloat16",CLEAN
32,64,132,324.6,3.51e-03,"M=1 qkv bfloat16",CLEAN
33,66,132,322.4,3.51e-03,"M=1 qkv bfloat16",CLEAN
34,68,132,320.6,3.51e-03,"M=1 qkv bfloat16",CLEAN
35,70,132,352.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
36,72,132,351.9,3.51e-03,"M=1 qkv bfloat16",CLEAN
37,74,132,351.3,3.51e-03,"M=1 qkv bfloat16",CLEAN
38,76,132,350.2,3.51e-03,"M=1 qkv bfloat16",CLEAN
39,78,132,348.8,3.51e-03,"M=1 qkv bfloat16",CLEAN
40,80,132,380.5,3.51e-03,"M=1 qkv bfloat16",CLEAN
41,82,132,436.7,3.51e-03,"M=1 qkv bfloat16",CLEAN
42,84,132,435.4,3.51e-03,"M=1 qkv bfloat16",CLEAN
43,86,132,435.7,3.51e-03,"M=1 qkv bfloat16",CLEAN
44,88,132,434.4,3.51e-03,"M=1 qkv bfloat16",CLEAN
45,90,132,432.4,3.51e-03,"M=1 qkv bfloat16",CLEAN
46,92,132,430.6,3.51e-03,"M=1 qkv bfloat16",CLEAN
47,94,132,491.5,3.51e-03,"M=1 qkv bfloat16",CLEAN
48,96,132,493.4,3.51e-03,"M=1 qkv bfloat16",CLEAN
49,98,132,494.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
50,100,132,492.6,3.51e-03,"M=1 qkv bfloat16",CLEAN
51,102,132,491.8,3.51e-03,"M=1 qkv bfloat16",CLEAN
52,104,132,491.4,3.51e-03,"M=1 qkv bfloat16",CLEAN
53,106,132,490.8,3.51e-03,"M=1 qkv bfloat16",CLEAN
54,108,132,491.8,3.51e-03,"M=1 qkv bfloat16",CLEAN
55,110,132,489.5,3.51e-03,"M=1 qkv bfloat16",CLEAN
56,112,132,485.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
57,114,132,484.2,3.51e-03,"M=1 qkv bfloat16",CLEAN
58,116,132,558.2,3.51e-03,"M=1 qkv bfloat16",CLEAN
59,118,132,557.0,3.51e-03,"M=1 qkv bfloat16",CLEAN
60,120,132,561.2,3.51e-03,"M=1 qkv bfloat16",CLEAN
61,122,132,561.7,3.51e-03,"M=1 qkv bfloat16",CLEAN
62,124,132,559.6,3.51e-03,"M=1 qkv bfloat16",CLEAN
63,126,132,560.1,3.51e-03,"M=1 qkv bfloat16",CLEAN
64,128,132,559.7,3.51e-03,"M=1 qkv bfloat16",CLEAN
