arm,pct,repeat,log,started,ended,load_s,others_before,others_after
rtllm,100,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p100-r1.log,2026-08-28T11:48:37+06:00,2026-08-28T11:55:05+06:00,13.4,"",""
rtllm,95,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p95-r1.log,2026-08-28T11:55:06+06:00,2026-08-28T12:01:34+06:00,14.0,"",""
rtllm,90,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p90-r1.log,2026-08-28T12:01:34+06:00,2026-08-28T12:08:03+06:00,14.0,"",""
rtllm,85,1,,2026-08-28T12:08:03+06:00,2026-08-28T12:08:06+06:00,SKIPPED_NUMCHECK,"",""
rtllm,80,1,,2026-08-28T12:08:06+06:00,2026-08-28T12:08:08+06:00,SKIPPED_NUMCHECK,"",""
rtllm,70,1,,2026-08-28T12:08:09+06:00,2026-08-28T12:08:11+06:00,SKIPPED_NUMCHECK,"",""
rtllm,66,1,,2026-08-28T12:08:11+06:00,2026-08-28T12:08:14+06:00,SKIPPED_NUMCHECK,"",""
rtllm,60,1,,2026-08-28T12:08:14+06:00,2026-08-28T12:08:17+06:00,SKIPPED_NUMCHECK,"",""
rtllm,50,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p50-r1.log,2026-08-28T12:08:17+06:00,2026-08-28T12:14:46+06:00,13.6,"",""
rtllm,45,1,,2026-08-28T12:14:46+06:00,2026-08-28T12:14:49+06:00,SKIPPED_NUMCHECK,"",""
rtllm,40,1,,2026-08-28T12:14:49+06:00,2026-08-28T12:14:51+06:00,SKIPPED_NUMCHECK,"",""
rtllm,35,1,,2026-08-28T12:14:52+06:00,2026-08-28T12:14:54+06:00,SKIPPED_NUMCHECK,"",""
rtllm,33,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p33-r1.log,2026-08-28T12:14:54+06:00,2026-08-28T12:21:14+06:00,14.4,"",""
rtllm,30,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p30-r1.log,2026-08-28T12:21:14+06:00,2026-08-28T12:27:43+06:00,13.9,"",""
rtllm,28,1,,2026-08-28T12:27:43+06:00,2026-08-28T12:27:46+06:00,SKIPPED_NUMCHECK,"",""
rtllm,25,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p25-r1.log,2026-08-28T12:27:46+06:00,2026-08-28T12:34:14+06:00,13.4,"",""
rtllm,22,1,,2026-08-28T12:34:14+06:00,2026-08-28T12:34:17+06:00,SKIPPED_NUMCHECK,"",""
rtllm,20,1,,2026-08-28T12:34:17+06:00,2026-08-28T12:34:19+06:00,SKIPPED_NUMCHECK,"",""
rtllm,15,1,,2026-08-28T12:34:20+06:00,2026-08-28T12:34:22+06:00,SKIPPED_NUMCHECK,"",""
rtllm,12,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p12-r1.log,2026-08-28T12:34:22+06:00,2026-08-28T12:40:51+06:00,13.8,"",""
rtllm,10,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p10-r1.log,2026-08-28T12:40:51+06:00,2026-08-28T12:47:19+06:00,13.4,"",""
rtllm,8,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p8-r1.log,2026-08-28T12:47:20+06:00,2026-08-28T12:53:48+06:00,14.0,"",""
rtllm,5,1,/home/mm562/TimelyLLM/timelyllm/logs/sweep3-rtllm-p5-r1.log,2026-08-28T12:53:49+06:00,2026-08-28T13:00:18+06:00,14.5,"",""
